X,Y,id
285313.2093,1282298.249,1165
253911.582,1288140.864,1166
239446.0945,1272613.125,1167
241956.6274,1281972.923,1168
439628.1294,1364047.872,1169
390386.5629,1134582.139,117
244851.253,1276498.575,1170
261203.012,1289844.101,1171
350921.9505,1333692.021,1172
430083.7128,1364512.857,1173
262269.721,1261086.967,1174
262239.468,1262609.304,1175
359648.1251,1337628.931,1176
360696.3463,1332984.129,1177
344691.647,1274437.916,1178
359241.7013,1337166.507,1179
406265.1984,1134117.893,118
434400.3889,1368947.322,1180
363727.9187,1345472.823,1181
264123.0225,1267573.029,1182
281167.2427,1295510.499,1183
264254.9843,1268970.732,1184
269172.9867,1304723.921,1185
265977.2976,1257180.9,1186
253640.6957,1268740.523,1187
257433.7898,1268342.811,1188
279678.3238,1305267.538,1189
373334.6887,1132224.716,119
259552.2555,1271195.22,1190
279554.3551,1289417.187,1191
286946.8983,1305946.678,1192
286071.2619,1313552.144,1193
280749.3357,1304924.267,1194
278537.2974,1307100.093,1195
281420.2842,1290394.115,1196
280377.2381,1293392.635,1197
271699.4306,1308121.235,1198
278427.0689,1298095.313,1199
299717.2219,1264771.532,12
340659.0092,1131433.206,120
275297.3169,1294303.884,1200
281481.5438,1297463.837,1201
348491.2901,1275779.803,1202
397061.7502,1205796.299,1203
273476.9547,1278048.829,1204
296542.4433,1271683.294,1205
319600.1111,1281108.5,1206
308266.044,1274168.782,1207
322706.9155,1281986.192,1208
319958.7447,1277857.111,1209
345612.0971,1130148.809,121
304596.8732,1264893.117,1210
276323.2124,1273339.808,1211
307577.5325,1263477.965,1212
272527.2686,1269837.007,1213
304190.1362,1267414.287,1214
294862.6213,1243095.462,1215
397922.5059,1162522.705,1216
284523.1404,1268756.074,1217
267419.0293,1274601.86,1218
420307.9614,1157281.305,1219
405554.1462,1122227.423,122
269206.428,1273040.209,1220
266398.0749,1272061.887,1221
270172.3366,1270326.236,1222
367589.2873,1173918.828,1223
365667.915,1166272.891,1224
370411.211,1182801.824,1225
367376.8573,1175409.539,1226
368182.4569,1172680.988,1227
367270.9024,1181703.451,1228
368586.3748,1177211.054,1229
393231.2793,1129859.827,123
422081.9306,1156987.967,1230
370535.4998,1174817.356,1231
354287.563,1193894.641,1232
375281.1587,1179197.171,1233
321914.1746,1280704.102,1234
351520.8613,1192953.905,1235
350536.9572,1193653.206,1236
375770.1518,1179249.613,1237
389246.4232,1159132.321,1238
393868.3954,1160768.956,1239
408555.1312,1128729.202,124
390996.6583,1159605.924,1240
418652.0072,1157557.065,1241
419454.4814,1157451.989,1242
352767.5442,1114540.103,1243
413000.2921,1158814.481,1244
353640.801,1267290.241,1245
383015.739,1155718.143,1246
386687.8021,1160289.365,1247
385368.3399,1157567.728,1248
408257.4258,1140792.823,1249
395520.6205,1125194.824,125
351898.6151,1126252.494,1250
410307.6575,1165922.436,1251
418944.2797,1161931.999,1252
414910.8199,1164006.038,1253
374267.9567,1140855.545,1254
405101.6654,1119041.323,1255
353653.6324,1261609.487,1256
407590.7137,1122971.053,1257
350735.8233,1133260.36,1258
360453.115,1142221.584,1259
432256.5239,1126541.605,126
343416.7224,1122931.99,1260
369264.2797,1105506.89,1261
408700.6035,1121004.056,1262
424337.3436,1141147.201,1263
420415.4096,1130366.4,1264
378997.5677,1109410.948,1265
407044.5252,1123190.039,1266
425511.3154,1136685.726,1267
419958.4887,1129348.966,1268
420865.0279,1128463.564,1269
406225.2092,1123308.211,127
417831.7123,1127904.671,1270
407860.7629,1117371.724,1271
425917.3211,1137309.012,1272
413461.5958,1125814.661,1273
409264.4448,1119347.775,1274
405807.8751,1149641.613,1275
423483.9687,1135901.238,1276
366408.1748,1352824.677,1277
396332.3008,1127021.281,1278
406392.1254,1145324.777,1279
396551.7517,1123397.849,128
402535.2242,1146106.95,1280
364508.9013,1353712.449,1281
367100.8191,1350789.053,1282
364504.7204,1304642.015,1283
387905.0594,1127918.952,1284
405876.2443,1126684.867,1285
410376.0735,1136488.342,1286
385608.1552,1133817.545,1287
405057.3177,1117429.12,1288
398259.3991,1130404.005,1289
384064.7267,1123208.546,129
392605.2581,1126140.22,1290
407282.4374,1127867.899,1291
391512.8529,1126631.609,1292
407715.3305,1133225.403,1293
396013.5127,1120908.297,1294
395377.3633,1121860.31,1295
352338.5863,1337560.308,1296
419410.3546,1126378.814,1297
429638.8574,1370310.846,1298
394277.0762,1118920.863,1299
338315.1715,1271710.219,13
356860.2255,1125043.706,130
431767.5071,1376796.486,1300
296655.6372,1300342.539,1301
295150.2711,1285759.021,1302
291284.9953,1288773.095,1303
304793.7428,1291745.972,1304
