id,gap_size,gap_proprotion,e_ndvi,e_elev,e_prec,e_area,e_edge,e_earatio,d_ndvi,d_elev,d_prec,d_area,d_edge,d_earatio,gap_size_km,e_ndvi_r,e_elev_km,e_prec_m,e_area_km,e_edge_km,e_earatio_km,d_ndvi_r,d_elev_km,d_prec_m,d_area_km,d_edge_km,d_earatio_km,g_edge,g_edge_km,long,lat
2976,163.058,0.03261552,357.86,2702.667,1629.19,4999.399,297.994,0.059605965,363.118,2702.6,1629.19,4836.341,344.087,0.071146141,0.000163058,0.35786,2.702667,1.62919,0.004999399,0.297994,59.60596464,0.363118,2.7026,1.62919,0.004836341,0.344087,71.14614127,46.093,0.046093,323442.1632,1218140.996
1183,142.6,0.06327224,218.464,1880.333,1625.082,2253.753,215.468,0.095604088,226.496,1880.333,1625.082,2111.153,261.661,0.123942225,0.0001426,0.218464,1.880333,1.625082,0.002253753,0.215468,95.60408794,0.226496,1.880333,1.625082,0.002111153,0.261661,123.9422249,46.184,0.046184,281169.6746,1295508.478
2276,166.743,0.02871305,328.553,2048.333,1312.018,5807.22,419.427,0.072225092,336.477,2048.333,1312.018,5640.477,465.984,0.08261429,0.000166743,0.328553,2.048333,1.312018,0.00580722,0.419427,72.22509221,0.336477,2.048333,1.312018,0.005640477,0.465984,82.61428954,46.571,0.046571,412964.0297,1216934.918
2226,163.34,0.056384664,245.59,2766.25,1221.704,2896.887,368.201,0.1271023,245.889,2766.25,1221.704,2733.547,402.127,0.147108135,0.00016334,0.24559,2.76625,1.221704,0.002896887,0.368201,127.1022998,0.245889,2.76625,1.221704,0.002733547,0.402127,147.1081346,47.076,0.047076,380687.1604,1345316.461
568,171.997,0.023159071,345.182,2123.444,1358.692,7426.766,417.383,0.056199832,347.943,2123.444,1358.692,7254.769,464.67,0.064050282,0.000171997,0.345182,2.123444,1.358692,0.007426766,0.417383,56.1998318,0.347943,2.123444,1.358692,0.007254769,0.46467,64.05028196,47.3,0.0473,399248.7274,1218875.276
707,163.441,0.040640466,237.205,2224,1312.713,4021.632,470.172,0.116910747,238.771,2224,1312.713,3858.191,517.703,0.134182833,0.000163441,0.237205,2.224,1.312713,0.004021632,0.470172,116.9107467,0.238771,2.224,1.312713,0.003858191,0.517703,134.1828334,47.546,0.047546,414742.0914,1238447.488
2007,168.856,0.025354462,392.749,2262.429,1048.569,6659.814,304.05,0.045654428,397.804,2262.429,1048.569,6490.958,351.587,0.054165656,0.000168856,0.392749,2.262429,1.048569,0.006659814,0.30405,45.65442819,0.397804,2.262429,1.048569,0.006490958,0.351587,54.16565629,47.552,0.047552,429310.669,1140870.928
1210,174.926,0.075670443,431.208,2008,1789.479,2311.682,175.593,0.075958977,445.097,2009.5,1789.479,2136.756,223.321,0.104514039,0.000174926,0.431208,2.008,1.789479,0.002311682,0.175593,75.95897706,0.445097,2.0095,1.789479,0.002136756,0.223321,104.514039,47.725,0.047725,304596.5596,1264893.637
1295,170.231,0.020980108,270.568,2073.444,1123.887,8113.924,458.247,0.05647662,273.217,2073.444,1123.887,7943.693,506.072,0.063707397,0.000170231,0.270568,2.073444,1.123887,0.008113924,0.458247,56.4766197,0.273217,2.073444,1.123887,0.007943693,0.506072,63.70739655,47.837,0.047837,395383.1002,1121855.131
2914,175.573,0.014415675,423.808,2486.857,1520.91,12179.312,442.29,0.036314859,424.694,2486.846,1520.91,12003.739,490.164,0.040834277,0.000175573,0.423808,2.486857,1.52091,0.012179312,0.44229,36.31485916,0.424694,2.486846,1.52091,0.012003739,0.490164,40.83427672,47.873,0.047873,317694.4785,1205241.864
1190,144.772,0.033837045,325.65,2011.75,1932.897,4278.506,381.39,0.089140929,328.659,2011.75,1932.897,4133.734,429.541,0.103911137,0.000144772,0.32565,2.01175,1.932897,0.004278506,0.38139,89.1409291,0.328659,2.01175,1.932897,0.004133734,0.429541,103.911137,48.135,0.048135,259551.6973,1271195.67
2353,131.646,0.003475952,432.15,3265.692,1569.524,37873.37,1014.158,0.026777601,433.393,3265.692,1569.524,37741.724,1062.538,0.028152874,0.000131646,0.43215,3.265692,1.569524,0.03787337,1.014158,26.77760125,0.433393,3.265692,1.569524,0.037741724,1.062538,28.15287399,48.393,0.048393,392946.2928,1179390.004
940,178.281,0.030842372,307.265,2513.167,1546.081,5780.392,326.571,0.056496341,312.32,2513.167,1546.081,5602.111,375.133,0.066962793,0.000178281,0.307265,2.513167,1.546081,0.005780392,0.326571,56.49634142,0.31232,2.513167,1.546081,0.005602111,0.375133,66.96279313,48.566,0.048566,343656.8708,1221587.465
1694,178.328,0.027071638,200.979,2106.571,1248.879,6587.263,325.682,0.049441172,202.571,2106.571,1248.879,6408.935,375.113,0.058529693,0.000178328,0.200979,2.106571,1.248879,0.006587263,0.325682,49.44117155,0.202571,2.106571,1.248879,0.006408935,0.375113,58.52969331,49.437,0.049437,353637.887,1104336.941
824,174.617,0.034167191,224.468,2012.5,1083.111,5110.663,532.964,0.104284708,229.3,2012.5,1083.111,4936.046,582.461,0.118001534,0.000174617,0.224468,2.0125,1.083111,0.005110663,0.532964,104.2847083,0.2293,2.0125,1.083111,0.004936046,0.582461,118.001534,49.514,0.049514,432335.7087,1282380.144
2864,186.054,0.015375109,384.432,2529.071,1782.255,12100.987,474.977,0.039251096,387.274,2529.071,1782.255,11914.933,524.513,0.044021481,0.000186054,0.384432,2.529071,1.782255,0.012100987,0.474977,39.2510958,0.387274,2.529071,1.782255,0.011914933,0.524513,44.02148128,49.535,0.049535,314347.9211,1212868.73
3149,184.183,0.013579462,333.78,2229.857,1589.166,13563.35,443.054,0.032665529,335.671,2229.857,1589.166,13379.167,492.709,0.036826583,0.000184183,0.33378,2.229857,1.589166,0.01356335,0.443054,32.6655288,0.335671,2.229857,1.589166,0.013379167,0.492709,36.8265827,49.657,0.049657,328418.0755,1259406.103
650,148.345,0.035387356,195.305,1813.5,1348.462,4192.034,268.2,0.063978489,198.465,1814.6,1348.462,4043.689,318.005,0.078642299,0.000148345,0.195305,1.8135,1.348462,0.004192034,0.2682,63.97848872,0.198465,1.8146,1.348462,0.004043689,0.318005,78.64229915,49.81,0.04981,350969.4512,1104657.999
1758,149.098,0.010077141,347.983,2064.588,1316.635,14795.665,598.075,0.040422313,349.074,2064.588,1316.635,14646.567,648.088,0.044248458,0.000149098,0.347983,2.064588,1.316635,0.014795665,0.598075,40.42231289,0.349074,2.064588,1.316635,0.014646567,0.648088,44.24845768,50.017,0.050017,335999.8285,1129059.247
1400,194.348,0.03396097,197.136,2059.143,1267.571,5722.687,313.549,0.054790521,199.65,2059.143,1267.571,5528.339,364.012,0.065844732,0.000194348,0.197136,2.059143,1.267571,0.005722687,0.313549,54.79052061,0.19965,2.059143,1.267571,0.005528339,0.364012,65.84473203,50.472,0.050472,366416.0222,1103015.455
1815,194.584,0.019349078,240.868,2129.3,1248.879,10056.5,431.503,0.042907871,243.348,2129.3,1248.879,9861.916,482.039,0.048878839,0.000194584,0.240868,2.1293,1.248879,0.0100565,0.431503,42.90787053,0.243348,2.1293,1.248879,0.009861916,0.482039,48.87883855,50.543,0.050543,355510.8171,1104334.543
362,188.136,0.029253689,366.083,1992,1597.494,6431.189,501.056,0.077910321,368.413,1992,1597.494,6243.053,551.659,0.088363658,0.000188136,0.366083,1.992,1.597494,0.006431189,0.501056,77.91032109,0.368413,1.992,1.597494,0.006243053,0.551659,88.36365797,50.592,0.050592,278822.9934,1173643.874
1147,171.717,0.047515217,302.549,2406.667,1121.126,3613.937,301.945,0.083550156,310.588,2406.667,1121.126,3442.22,352.607,0.102435928,0.000171717,0.302549,2.406667,1.121126,0.003613937,0.301945,83.55015597,0.310588,2.406667,1.121126,0.00344222,0.352607,102.435928,50.68,0.05068,444285.5078,1205240.655
2283,189.362,0.021668022,358.326,2007.8,1307.931,8739.238,446.357,0.051075048,362.475,2007.8,1307.931,8549.876,497.114,0.058142832,0.000189362,0.358326,2.0078,1.307931,0.008739238,0.446357,51.07504796,0.362475,2.0078,1.307931,0.008549876,0.497114,58.14283155,50.77,0.05077,391724.1018,1217556.886
180,194.984,0.005208889,363.303,2490.5,1133.587,37432.934,1130.351,0.030196698,364.025,2490.974,1133.587,37237.95,1181.172,0.031719576,0.000194984,0.363303,2.4905,1.133587,0.037432934,1.130351,30.19669791,0.364025,2.490974,1.133587,0.03723795,1.181172,31.7195764,50.838,0.050838,429542.9411,1218766.321
