id,elev
1408,2324
1409,2341
141,3012
1410,1779
1411,2529
1412,1680
1413,1810
1414,1925
1415,3336
1416,1631
1417,3569
1418,3539
1419,3446
142,2800
1420,3604
1421,2507
1422,2131
1423,2524
1424,2394
1425,2572
1426,2433
1427,2342
1428,2431
1429,2026
143,2976
1430,2678
1431,2373
1432,2148
1433,2052
1434,2333
1435,1908
1436,1782
1437,2731
1438,1821
1439,1869
144,2909
1440,1831
1441,1973
1442,1791
1443,1946
1444,2601
1445,2046
1446,1762
1447,2170
1448,1945
1449,2510
145,2781
1450,2499
1451,2380
1452,2188
1453,2392
1454,1999
1455,2433
1456,2425
1457,2374
1458,1598
1459,2519
146,3292
1460,1797
1461,2395
1462,2675
1463,2466
1464,2446
1465,2409
1466,2544
1467,2706
1468,1700
1469,1956
147,2591
1470,2353
1471,2423
1472,1952
1473,1829
1474,1719
1475,1676
1476,1688
1477,1868
1478,1968
1479,2392
148,2822
1480,2502
1481,2452
1482,2455
1483,2523
1484,2476
1485,2297
1486,2194
1487,2127
1488,2090
1489,2147
149,1967
1490,1857
1491,2234
1492,1776
1493,2988
1494,2947
1495,1771
1496,3019
1497,1810
1498,2439
1499,1794
15,2041
150,2574
1500,1821
1501,2205
1502,2500
1503,2466
1504,2424
1505,2196
1506,2417
1507,2230
1508,1626
1509,2364
151,2319
1510,2534
1511,2017
1512,1951
1513,2271
1514,2159
1515,2136
1516,2800
1517,2891
1518,2380
1519,2272
152,3013
1520,2498
1521,2347
1522,1770
1523,2387
1524,2657
1525,2534
1526,2577
1527,1790
1528,2947
1529,2466
153,2752
1530,2505
1531,2279
1532,2143
1533,2618
1534,2744
1535,2636
1536,2664
1537,2604
1538,2590
1539,2666
154,2934
1540,2618
1541,2559
1542,2548
1543,2629
1544,2737
1545,2743
1546,2577
1547,2626
1548,2889
1549,2651
155,2566
1550,2588
1551,2532
1552,2640
1553,2702
1554,2570
1555,2477
1556,2623
1557,2934
1558,2548
1559,2205
156,2782
1560,2641
1561,2500
1562,2633
1563,2573
1564,2747
1565,2721
1566,2619
1567,3135
1568,2554
1569,2534
157,1923
1570,2883
1571,2603
1572,2517
1573,2610
1574,2450
1575,2826
1576,2159
1577,2656
1578,3131
1579,2532
158,3072
1580,2185
1581,2617
1582,3097
1583,2538
1584,2464
1585,2503
1586,2416
1587,2703
1588,2497
1589,2553
159,3073
1590,3016
1591,2258
1592,2522
1593,2215
1594,2532
1595,3012
1596,2556
1597,2496
1598,2514
1599,2507
16,2114
160,2330
1600,2601
1601,2298
1602,2566
1603,2466
1604,2469
1605,2545
1606,2017
1607,2485
1608,2215
1609,2473
161,2639
1610,2002
1611,2648
1612,2058
1613,2710
1614,2503
1615,2307
1616,2597
1617,2463
1618,2552
1619,2748
162,2889
1620,2337
1621,2384
1622,2402
1623,2442
1624,2517
1625,2660
1626,2320
1627,2736
1628,2460
1629,2374
163,2748
1630,2527
1631,2709
1632,2680
1633,2362
1634,2585
1635,2556
1636,2265
1637,2490
1638,2119
1639,2269
164,2907
1640,2499
