,lat_dd_mod,household_id2,dist_market,lon_dd_mod,tsfirewood,hh_education,car_num,car,bicycle_num,bicycle,motorcycle_num,motorcycle,kerosene_num,kerosene,electric_num,electric,mobile_num,mobile,tv_num,tv,iddir,total_cons_ann,ess_id
62,10.57737596,3.07101E+16,16,37.04496751,120,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,33457.71484,5
63,10.57943193,3.06161E+16,26,37.79849841,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,11380,27
64,10.57943193,3.06161E+16,25,37.79849841,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20785.85742,27
65,10.57943193,3.06161E+16,26,37.79849841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11721.82813,27
66,10.57943193,3.06161E+16,26,37.79849841,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17591.85742,27
67,10.57943193,3.06161E+16,26,37.79849841,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16584.85742,27
68,10.57943193,3.06161E+16,25,37.79849841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19170.42773,27
69,10.57943193,3.06161E+16,25,37.79849841,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11982,27
70,10.57943193,3.06161E+16,24,37.79849841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6468,27
71,10.57943193,3.06161E+16,25,37.79849841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8857,27
72,10.57943193,3.06161E+16,26,37.79849841,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,18909.42969,27
73,10.57943193,3.06161E+16,24,37.79849841,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,15252.85742,27
74,10.58927683,3.07081E+16,7,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14024.54785,35
75,10.58927683,3.07081E+16,7,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5633.119141,35
76,10.58927683,3.07081E+16,5,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11605.23828,35
77,10.58927683,3.07081E+16,7,37.46159823,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8347.285156,35
78,10.58927683,3.07081E+16,2,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5938.856934,35
79,10.58927683,3.07081E+16,7,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7685.115234,35
80,10.58927683,3.07081E+16,7,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8308.897461,35
81,10.58927683,3.07081E+16,7,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,11085.79199,35
82,10.58927683,3.07081E+16,5,37.46159823,570,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,29959.72461,35
83,10.58927683,3.07081E+16,6,37.46159823,78,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,11753.85742,35
84,10.58927683,3.07081E+16,6,37.46159823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13081.24609,35
85,10.72301359,3.0705E+16,1,37.25932329,0,13,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,17488,6
